age,gender,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase,device_Desktop,device_Mobile,device_Tablet
42.0,1,27.82,8.0,2.0,6.0,0.0,1.0,0.0,22.56,44.68,1.0,0,1,0
31.0,1,6.18,18.0,3.0,4.0,1.0,0.0,0.0,8.54,15.33,1.0,0,1,0
26.0,1,3.39,5.0,3.0,6.0,1.0,0.0,1.0,3.43,65.25,1.0,0,1,0
43.0,0,26.56,7.0,14.0,2.0,1.0,0.0,1.0,35.19,0.42,1.0,0,1,0
19.0,0,27.54,5.0,3.0,6.0,1.0,1.0,1.0,14.3,44.93,1.0,0,1,0
37.0,0,9.02,19.0,11.0,5.0,0.0,1.0,1.0,10.52,92.91,1.0,1,0,0
45.0,1,11.94,17.0,7.0,5.0,1.0,0.0,1.0,9.55,89.73,1.0,0,1,0
24.0,1,20.15,19.0,12.0,1.0,0.0,1.0,0.0,27.42,80.38,1.0,1,0,0
25.0,1,10.57,4.0,3.0,1.0,1.0,1.0,0.0,15.26,14.12,1.0,1,0,0
52.0,1,26.44,7.0,3.0,6.0,1.0,1.0,0.0,31.4,52.03,1.0,1,0,0
31.0,0,4.12,6.0,5.0,0.0,1.0,0.0,1.0,2.66,71.91,1.0,0,1,0
34.0,1,2.1,14.0,8.0,8.0,1.0,0.0,0.0,2.03,10.12,1.0,0,1,0
53.0,1,7.05,19.0,9.0,2.0,0.0,1.0,1.0,6.8,14.7,1.0,0,1,0
57.0,1,9.3,11.0,5.0,5.0,1.0,0.0,0.0,12.37,4.01,1.0,1,0,0
21.0,0,4.27,7.0,5.0,2.0,1.0,1.0,0.0,4.1,32.31,1.0,0,1,0
19.0,0,2.91,3.0,6.0,8.0,0.0,0.0,1.0,2.42,87.73,1.0,1,0,0
23.0,1,15.74,17.0,6.0,9.0,1.0,0.0,0.0,25.46,50.75,1.0,1,0,0
59.0,0,5.76,11.0,0.0,6.0,1.0,0.0,1.0,6.61,85.33,1.0,0,1,0
21.0,0,27.5,15.0,7.0,0.0,1.0,0.0,0.0,36.02,8.37,1.0,0,1,0
46.0,0,11.67,7.0,0.0,3.0,1.0,1.0,1.0,16.34,5.61,1.0,1,0,0
35.0,0,20.45,15.0,14.0,4.0,0.0,0.0,0.0,28.42,80.39,1.0,0,1,0
43.0,0,7.54,17.0,8.0,6.0,0.0,0.0,1.0,8.5,49.78,1.0,0,1,0
51.0,1,7.97,11.0,13.0,6.0,0.0,1.0,0.0,8.16,47.09,1.0,1,0,0
27.0,1,17.67,12.0,13.0,4.0,0.0,1.0,1.0,22.99,47.56,1.0,0,1,0
53.0,1,15.74,13.0,14.0,0.0,1.0,0.0,0.0,13.93,38.11,1.0,0,0,1
31.0,0,23.29,11.0,3.0,4.0,1.0,1.0,1.0,29.3,88.64,1.0,1,0,0
48.0,0,22.98,11.0,8.0,4.0,0.0,0.0,1.0,23.12,52.1,1.0,1,0,0
32.0,0,20.45,9.0,7.0,3.0,1.0,0.0,0.0,12.75,97.39,1.0,0,1,0
25.0,0,14.02,11.0,8.0,5.0,1.0,1.0,1.0,17.57,84.65,1.0,0,1,0
31.0,1,26.83,4.0,14.0,7.0,0.0,0.0,1.0,30.81,73.76,1.0,0,1,0
40.0,1,19.05,2.0,13.0,9.0,0.0,1.0,1.0,11.1,63.62,1.0,0,1,0
57.0,1,29.72,4.0,5.0,4.0,0.0,1.0,1.0,28.24,83.52,1.0,0,1,0
38.0,1,24.76,14.0,8.0,7.0,1.0,0.0,1.0,24.43,88.17,1.0,0,1,0
33.0,1,2.28,5.0,3.0,4.0,1.0,1.0,0.0,2.63,13.32,1.0,0,1,0
35.0,1,10.3,17.0,2.0,2.0,1.0,1.0,0.0,12.14,35.97,1.0,0,1,0
41.0,0,17.58,12.0,2.0,7.0,1.0,0.0,0.0,12.14,80.54,1.0,1,0,0
43.0,0,21.92,6.0,7.0,3.0,1.0,0.0,1.0,11.7,22.13,1.0,0,1,0
42.0,1,16.96,12.0,1.0,2.0,1.0,0.0,1.0,21.95,58.62,1.0,0,1,0
58.0,0,23.8,15.0,11.0,2.0,0.0,0.0,1.0,35.26,78.05,1.0,1,0,0
46.0,1,15.74,19.0,5.0,5.0,1.0,1.0,1.0,13.25,22.39,1.0,0,0,1
32.0,1,6.33,10.0,8.0,7.0,0.0,0.0,1.0,6.34,40.2,1.0,0,1,0
18.0,0,2.56,2.0,14.0,9.0,0.0,0.0,0.0,2.63,91.51,1.0,0,1,0
42.0,1,17.63,12.0,8.0,4.0,1.0,1.0,1.0,25.22,35.6,1.0,0,1,0
24.0,1,20.97,12.0,7.0,0.0,0.0,0.0,0.0,21.9,60.47,1.0,0,0,1
26.0,1,10.46,7.0,7.0,0.0,0.0,0.0,0.0,8.13,43.38,1.0,1,0,0
41.0,0,18.79,1.0,0.0,2.0,0.0,1.0,1.0,22.13,87.7,1.0,1,0,0
18.0,0,2.51,18.0,10.0,5.0,0.0,1.0,1.0,2.45,42.41,1.0,0,1,0
25.0,1,3.88,3.0,6.0,1.0,1.0,0.0,0.0,14.3,49.5,1.0,0,1,0
41.0,0,21.35,5.0,13.0,0.0,0.0,0.0,0.0,27.4,17.33,1.0,0,1,0
28.0,1,11.67,15.0,14.0,6.0,1.0,1.0,1.0,16.76,34.92,1.0,1,0,0
34.0,0,20.47,10.0,0.0,1.0,0.0,0.0,1.0,13.06,66.96,1.0,1,0,0
25.0,0,25.12,19.0,8.0,7.0,1.0,1.0,0.0,25.66,17.58,1.0,0,0,1
52.0,0,25.73,1.0,2.0,1.0,0.0,1.0,0.0,33.09,70.54,1.0,0,1,0
52.0,1,5.99,7.0,0.0,0.0,1.0,0.0,0.0,5.6,1.06,1.0,0,1,0
50.0,0,15.1,18.0,7.0,9.0,1.0,1.0,0.0,17.02,36.7,1.0,0,1,0
22.0,0,22.28,2.0,6.0,1.0,1.0,0.0,0.0,29.34,46.59,1.0,1,0,0
59.0,1,23.45,19.0,1.0,1.0,0.0,1.0,1.0,22.83,9.61,1.0,1,0,0
56.0,1,23.76,10.0,13.0,6.0,0.0,1.0,1.0,21.58,68.41,1.0,0,1,0
58.0,1,7.62,15.0,6.0,0.0,0.0,0.0,1.0,5.19,10.28,1.0,0,1,0
45.0,1,6.58,10.0,4.0,2.0,1.0,0.0,0.0,8.72,9.0,1.0,0,1,0
24.0,0,18.11,10.0,14.0,4.0,1.0,1.0,1.0,23.47,36.79,1.0,0,1,0
26.0,1,22.49,12.0,6.0,6.0,1.0,0.0,1.0,27.96,73.83,1.0,1,0,0
25.0,0,10.26,8.0,9.0,5.0,0.0,1.0,1.0,9.17,96.37,1.0,0,1,0
29.0,0,4.04,14.0,7.0,7.0,0.0,0.0,0.0,4.38,77.6,1.0,1,0,0
51.0,0,21.79,2.0,6.0,0.0,1.0,0.0,1.0,13.6,46.6,1.0,0,1,0
50.0,0,9.69,17.0,1.0,6.0,0.0,0.0,1.0,7.94,27.26,1.0,1,0,0
40.0,0,5.82,6.0,1.0,8.0,1.0,0.0,1.0,5.44,30.14,1.0,0,1,0
41.0,1,5.28,8.0,14.0,6.0,0.0,1.0,1.0,2.87,28.37,1.0,1,0,0
54.0,0,10.13,1.0,6.0,5.0,1.0,0.0,0.0,6.11,27.83,1.0,0,1,0
52.0,0,18.19,3.0,2.0,8.0,1.0,0.0,0.0,24.19,6.91,1.0,0,1,0
57.0,0,11.39,15.0,3.0,3.0,1.0,0.0,0.0,16.76,22.04,1.0,0,1,0
39.0,1,1.6,17.0,14.0,9.0,0.0,0.0,1.0,1.32,10.79,1.0,0,1,0
39.0,0,3.81,7.0,13.0,5.0,0.0,0.0,0.0,2.31,0.74,1.0,0,1,0
52.0,0,9.42,14.0,6.0,5.0,1.0,0.0,1.0,13.52,28.56,1.0,0,1,0
18.0,1,20.13,3.0,13.0,9.0,0.0,0.0,1.0,28.47,35.22,1.0,0,0,1
52.0,0,3.86,18.0,1.0,2.0,0.0,1.0,1.0,4.46,92.74,1.0,0,1,0
54.0,0,17.26,5.0,7.0,6.0,1.0,1.0,1.0,14.47,99.48,1.0,1,0,0
31.0,1,15.74,15.0,1.0,0.0,0.0,0.0,0.0,2.74,57.94,1.0,0,0,1
20.0,0,7.14,6.0,8.0,7.0,0.0,1.0,1.0,10.28,90.1,1.0,0,1,0
18.0,0,5.99,3.0,10.0,7.0,0.0,0.0,1.0,8.51,61.82,1.0,1,0,0
22.0,0,2.95,18.0,0.0,7.0,0.0,1.0,0.0,3.67,49.76,1.0,0,1,0
43.0,0,20.47,3.0,11.0,5.0,1.0,0.0,0.0,29.35,4.27,1.0,0,1,0
31.0,0,14.44,8.0,11.0,3.0,0.0,0.0,0.0,9.24,4.46,1.0,0,1,0
56.0,1,25.1,19.0,2.0,5.0,0.0,0.0,1.0,15.29,3.08,1.0,0,0,1
44.0,1,3.87,18.0,9.0,5.0,0.0,1.0,0.0,2.68,15.01,1.0,0,1,0
26.0,1,5.2,15.0,3.0,1.0,1.0,0.0,0.0,3.72,7.69,1.0,0,1,0
32.0,0,9.89,14.0,4.0,5.0,1.0,0.0,0.0,13.13,19.47,1.0,0,1,0
32.0,0,23.21,16.0,14.0,7.0,1.0,0.0,0.0,33.0,51.92,1.0,1,0,0
43.0,0,9.87,3.0,2.0,3.0,0.0,0.0,1.0,7.06,50.32,1.0,0,1,0
59.0,1,12.84,15.0,8.0,4.0,1.0,0.0,1.0,12.36,34.42,1.0,1,0,0
30.0,0,9.75,19.0,4.0,7.0,0.0,1.0,0.0,9.31,66.6,1.0,1,0,0
49.0,0,3.33,8.0,6.0,2.0,1.0,1.0,1.0,2.26,39.19,1.0,1,0,0
56.0,0,28.24,2.0,14.0,5.0,1.0,1.0,1.0,38.22,22.02,1.0,0,0,1
49.0,1,16.91,17.0,13.0,0.0,0.0,0.0,0.0,17.29,69.22,1.0,1,0,0
21.0,1,23.85,12.0,10.0,3.0,1.0,0.0,0.0,25.43,98.02,1.0,0,1,0
47.0,0,20.09,10.0,12.0,5.0,1.0,0.0,1.0,15.24,81.07,1.0,0,1,0
54.0,0,15.91,11.0,6.0,2.0,1.0,1.0,0.0,16.85,41.41,1.0,0,1,0
40.0,0,3.6,18.0,10.0,0.0,1.0,0.0,1.0,14.3,37.57,1.0,0,1,0
56.0,1,19.64,13.0,8.0,5.0,1.0,1.0,1.0,15.81,3.86,1.0,0,1,0
32.0,1,5.51,14.0,1.0,2.0,0.0,0.0,1.0,3.38,65.71,1.0,0,1,0
46.0,1,13.02,12.0,2.0,7.0,0.0,0.0,1.0,14.11,22.26,1.0,0,1,0
53.0,0,19.24,15.0,3.0,6.0,1.0,1.0,1.0,21.85,68.35,1.0,0,0,1
30.0,1,23.68,8.0,7.0,6.0,0.0,0.0,1.0,16.62,76.02,1.0,0,1,0
49.0,0,20.87,2.0,0.0,7.0,0.0,0.0,0.0,15.62,87.98,1.0,0,0,1
24.0,0,20.47,8.0,8.0,6.0,1.0,1.0,0.0,13.37,54.83,1.0,0,1,0
39.0,1,5.32,5.0,4.0,4.0,1.0,1.0,1.0,7.56,83.0,1.0,1,0,0
45.0,0,11.04,2.0,3.0,9.0,0.0,1.0,0.0,7.87,72.32,1.0,1,0,0
19.0,1,2.24,10.0,12.0,7.0,1.0,0.0,0.0,1.14,35.3,1.0,0,1,0
59.0,0,21.86,10.0,7.0,7.0,0.0,0.0,1.0,29.3,10.64,1.0,0,1,0
23.0,0,28.62,4.0,13.0,7.0,0.0,1.0,1.0,37.3,24.22,1.0,0,1,0
45.0,1,8.66,4.0,8.0,9.0,1.0,1.0,1.0,8.28,84.46,1.0,0,1,0
45.0,0,3.54,8.0,2.0,5.0,1.0,0.0,1.0,4.59,53.44,1.0,0,0,1
37.0,0,14.79,6.0,13.0,1.0,0.0,0.0,1.0,14.04,66.56,1.0,1,0,0
47.0,0,25.84,15.0,3.0,7.0,0.0,0.0,1.0,18.72,80.61,1.0,0,1,0
28.0,0,17.01,18.0,0.0,9.0,1.0,0.0,1.0,15.75,66.7,1.0,0,1,0
45.0,1,2.36,8.0,14.0,0.0,1.0,0.0,0.0,2.33,85.61,1.0,0,1,0
42.0,0,29.25,7.0,11.0,8.0,1.0,1.0,0.0,14.89,8.64,1.0,0,1,0
56.0,0,25.03,17.0,13.0,8.0,1.0,0.0,1.0,15.35,90.36,1.0,1,0,0
50.0,0,4.82,19.0,2.0,5.0,1.0,0.0,0.0,6.63,81.26,1.0,0,1,0
18.0,1,27.73,2.0,9.0,9.0,1.0,1.0,1.0,24.75,90.3,1.0,0,1,0
44.0,1,14.07,12.0,4.0,5.0,0.0,1.0,1.0,11.7,73.09,1.0,0,1,0
30.0,0,11.79,19.0,14.0,5.0,0.0,0.0,0.0,16.37,27.44,1.0,0,1,0
58.0,0,14.37,5.0,12.0,3.0,1.0,0.0,1.0,9.41,11.39,1.0,1,0,0
20.0,1,25.2,12.0,7.0,0.0,0.0,0.0,0.0,18.07,12.96,1.0,0,1,0
56.0,0,20.12,17.0,13.0,0.0,0.0,1.0,1.0,26.72,49.89,1.0,0,0,1
23.0,1,15.74,5.0,0.0,0.0,0.0,0.0,1.0,2.12,39.09,1.0,0,1,0
25.0,1,28.77,2.0,0.0,4.0,0.0,0.0,0.0,32.6,65.42,1.0,0,1,0
44.0,1,5.29,4.0,2.0,6.0,0.0,0.0,1.0,6.56,50.33,1.0,0,1,0
26.0,0,22.62,6.0,8.0,0.0,0.0,1.0,1.0,16.35,12.53,1.0,1,0,0
54.0,0,19.45,9.0,8.0,0.0,0.0,0.0,1.0,14.65,0.22,1.0,0,0,1
50.0,0,6.44,10.0,0.0,5.0,0.0,0.0,1.0,6.54,12.83,1.0,1,0,0
59.0,1,5.95,11.0,3.0,1.0,1.0,0.0,0.0,7.69,14.67,1.0,0,1,0
41.0,1,26.24,2.0,11.0,1.0,1.0,0.0,0.0,27.67,71.99,1.0,0,0,1
32.0,1,13.17,9.0,7.0,6.0,1.0,1.0,0.0,7.47,28.53,1.0,0,1,0
49.0,0,19.98,17.0,1.0,8.0,1.0,0.0,0.0,17.0,9.36,1.0,1,0,0
49.0,1,15.62,10.0,3.0,7.0,0.0,1.0,0.0,12.97,75.54,1.0,0,0,1
41.0,1,22.09,8.0,6.0,1.0,1.0,1.0,0.0,28.88,94.05,1.0,0,1,0
58.0,1,14.9,5.0,6.0,6.0,1.0,1.0,1.0,11.77,10.05,1.0,0,0,1
29.0,1,9.33,5.0,4.0,4.0,0.0,0.0,1.0,13.07,96.31,1.0,0,1,0
56.0,1,11.54,6.0,6.0,9.0,1.0,0.0,0.0,9.64,95.03,1.0,0,0,1
19.0,0,25.91,16.0,5.0,3.0,1.0,0.0,1.0,17.98,52.31,1.0,0,1,0
20.0,0,14.57,1.0,1.0,9.0,0.0,1.0,0.0,15.15,29.58,1.0,0,0,1
54.0,1,7.19,9.0,8.0,3.0,1.0,0.0,1.0,6.37,13.81,1.0,0,1,0
34.0,0,28.1,7.0,4.0,3.0,1.0,1.0,1.0,32.25,82.39,1.0,1,0,0
19.0,1,24.1,11.0,1.0,8.0,0.0,1.0,0.0,34.12,60.47,1.0,0,1,0
19.0,0,2.61,15.0,5.0,6.0,0.0,1.0,1.0,3.76,65.13,1.0,0,1,0
45.0,1,29.97,5.0,9.0,6.0,1.0,0.0,1.0,21.8,86.09,1.0,0,1,0
39.0,0,21.15,19.0,4.0,3.0,1.0,0.0,0.0,14.01,44.39,1.0,1,0,0
54.0,1,5.65,6.0,7.0,8.0,1.0,1.0,1.0,8.14,36.81,1.0,0,1,0
49.0,0,7.88,14.0,7.0,7.0,0.0,1.0,0.0,10.34,76.23,1.0,0,1,0
50.0,0,21.08,14.0,9.0,9.0,1.0,1.0,1.0,16.06,29.72,1.0,0,1,0
18.0,0,23.61,11.0,9.0,3.0,1.0,0.0,1.0,30.81,32.79,1.0,0,0,1
36.0,0,7.93,4.0,6.0,5.0,1.0,1.0,1.0,9.84,49.5,1.0,0,1,0
19.0,0,8.45,10.0,9.0,3.0,1.0,0.0,0.0,6.37,85.64,1.0,0,1,0
43.0,0,9.91,2.0,12.0,0.0,0.0,0.0,1.0,14.3,77.91,1.0,0,1,0
49.0,0,18.34,4.0,1.0,4.0,0.0,1.0,0.0,15.07,29.14,1.0,0,1,0
23.0,1,5.98,10.0,6.0,9.0,1.0,0.0,1.0,5.86,14.36,1.0,0,1,0
49.0,1,4.02,1.0,13.0,2.0,1.0,0.0,0.0,4.46,39.28,1.0,0,1,0
21.0,0,20.69,14.0,5.0,0.0,0.0,1.0,1.0,14.3,62.46,1.0,1,0,0
28.0,1,23.59,10.0,11.0,1.0,0.0,0.0,1.0,14.3,67.62,1.0,1,0,0
34.0,1,15.53,12.0,11.0,1.0,0.0,0.0,1.0,18.73,20.04,1.0,0,1,0
55.0,1,11.55,19.0,3.0,7.0,0.0,0.0,0.0,6.95,24.94,1.0,0,1,0
41.0,0,13.53,12.0,3.0,3.0,1.0,0.0,0.0,11.9,93.01,1.0,1,0,0
22.0,1,12.26,5.0,11.0,2.0,0.0,0.0,0.0,13.63,38.51,1.0,0,1,0
51.0,1,28.84,4.0,5.0,3.0,0.0,0.0,0.0,41.13,31.41,1.0,1,0,0
23.0,1,23.27,13.0,8.0,9.0,1.0,0.0,1.0,32.37,69.57,1.0,0,1,0
39.0,0,7.03,18.0,9.0,0.0,1.0,1.0,0.0,4.71,46.79,1.0,0,1,0
28.0,0,12.14,12.0,5.0,0.0,1.0,1.0,0.0,13.48,24.68,1.0,0,1,0
33.0,1,16.78,16.0,5.0,4.0,1.0,0.0,1.0,10.03,40.93,1.0,1,0,0
50.0,0,18.78,6.0,10.0,6.0,1.0,0.0,1.0,14.91,49.5,1.0,0,1,0
26.0,0,14.58,7.0,0.0,8.0,1.0,1.0,0.0,16.0,27.96,1.0,0,1,0
23.0,1,24.49,9.0,4.0,6.0,1.0,0.0,1.0,14.24,41.85,1.0,0,1,0
33.0,0,23.26,10.0,14.0,4.0,0.0,0.0,0.0,32.3,51.8,1.0,1,0,0
46.0,1,15.65,5.0,0.0,2.0,0.0,0.0,1.0,20.8,74.17,1.0,0,0,1
20.0,1,25.78,4.0,10.0,7.0,1.0,0.0,1.0,25.09,38.49,1.0,0,1,0
37.0,1,22.78,11.0,13.0,6.0,0.0,1.0,1.0,22.59,54.57,1.0,0,1,0
53.0,1,15.74,19.0,8.0,5.0,0.0,1.0,0.0,32.57,95.1,1.0,0,0,1
36.0,1,28.74,7.0,9.0,0.0,1.0,0.0,1.0,15.82,81.83,1.0,0,1,0
43.0,1,8.73,13.0,3.0,2.0,0.0,1.0,0.0,5.62,23.7,1.0,0,1,0
20.0,0,8.76,13.0,1.0,7.0,0.0,0.0,0.0,7.08,21.35,1.0,0,1,0
36.0,0,26.78,18.0,8.0,1.0,0.0,1.0,1.0,23.15,66.27,1.0,1,0,0
37.0,0,23.39,9.0,5.0,8.0,0.0,0.0,0.0,34.79,59.53,1.0,0,1,0
49.0,1,27.87,13.0,13.0,3.0,1.0,1.0,0.0,18.04,54.69,1.0,1,0,0
24.0,0,2.83,13.0,10.0,6.0,0.0,0.0,1.0,2.27,15.42,1.0,0,1,0
58.0,1,19.2,5.0,12.0,9.0,0.0,0.0,1.0,25.5,36.26,1.0,0,1,0
50.0,0,5.19,12.0,9.0,6.0,1.0,1.0,0.0,6.67,75.94,1.0,1,0,0
57.0,1,15.61,1.0,2.0,7.0,0.0,1.0,0.0,18.03,49.5,1.0,0,1,0
56.0,0,5.52,18.0,12.0,6.0,1.0,0.0,0.0,4.57,16.52,1.0,0,1,0
35.0,1,4.71,17.0,11.0,3.0,0.0,1.0,0.0,2.91,42.69,1.0,1,0,0
57.0,0,1.35,10.0,1.0,6.0,0.0,1.0,1.0,2.0,44.27,1.0,1,0,0
18.0,1,19.28,9.0,5.0,4.0,1.0,0.0,0.0,14.49,50.86,1.0,1,0,0
28.0,0,11.41,8.0,9.0,9.0,1.0,1.0,1.0,15.34,46.12,1.0,0,0,1
45.0,1,4.05,15.0,5.0,6.0,1.0,0.0,0.0,5.65,50.17,1.0,1,0,0
42.0,0,10.36,13.0,13.0,2.0,0.0,1.0,0.0,9.75,81.31,1.0,0,1,0
40.0,0,5.9,17.0,11.0,9.0,1.0,0.0,1.0,7.97,38.95,1.0,0,1,0
48.0,0,28.31,9.0,11.0,6.0,1.0,0.0,1.0,22.05,55.2,1.0,1,0,0
47.0,1,10.28,11.0,8.0,6.0,0.0,1.0,1.0,14.29,60.68,1.0,0,1,0
59.0,1,10.68,4.0,4.0,1.0,1.0,0.0,0.0,12.13,94.23,1.0,1,0,0
52.0,1,25.36,7.0,10.0,7.0,0.0,0.0,1.0,17.61,65.47,1.0,1,0,0
24.0,1,19.78,3.0,14.0,5.0,0.0,1.0,0.0,25.45,13.07,1.0,0,1,0
33.0,1,21.59,10.0,7.0,8.0,1.0,0.0,0.0,30.52,58.25,1.0,0,0,1
43.0,0,19.44,3.0,11.0,3.0,1.0,1.0,1.0,20.81,66.19,1.0,0,1,0
19.0,1,15.74,1.0,8.0,8.0,0.0,1.0,0.0,35.85,0.95,1.0,0,1,0
18.0,0,7.0,14.0,12.0,0.0,1.0,0.0,0.0,9.06,7.53,1.0,0,0,1
29.0,0,29.68,13.0,4.0,4.0,0.0,1.0,0.0,38.21,1.9,1.0,0,1,0
22.0,1,25.1,5.0,1.0,9.0,1.0,1.0,1.0,23.96,4.83,1.0,0,1,0
54.0,0,18.08,8.0,0.0,6.0,1.0,0.0,0.0,22.42,8.97,1.0,0,1,0
49.0,1,20.21,12.0,8.0,3.0,0.0,1.0,0.0,21.19,95.78,1.0,1,0,0
26.0,1,19.82,6.0,9.0,6.0,0.0,0.0,0.0,18.13,20.67,1.0,1,0,0
58.0,1,2.69,2.0,7.0,8.0,1.0,1.0,0.0,1.79,20.46,1.0,1,0,0
52.0,0,7.32,4.0,2.0,4.0,1.0,0.0,1.0,10.31,85.74,1.0,1,0,0
36.0,1,28.88,5.0,14.0,4.0,1.0,1.0,1.0,26.42,75.28,1.0,0,1,0
33.0,1,16.5,11.0,11.0,1.0,1.0,0.0,0.0,12.2,67.58,1.0,1,0,0
20.0,1,11.97,13.0,5.0,4.0,0.0,0.0,0.0,8.89,42.17,1.0,1,0,0
37.0,0,23.1,8.0,9.0,7.0,0.0,1.0,0.0,17.14,3.12,1.0,0,1,0
41.0,1,16.21,5.0,3.0,3.0,0.0,0.0,0.0,8.15,82.65,1.0,0,1,0
50.0,0,1.38,6.0,13.0,1.0,1.0,0.0,1.0,1.29,86.08,1.0,0,0,1
41.0,0,22.35,15.0,8.0,7.0,1.0,0.0,1.0,31.08,48.18,1.0,1,0,0
28.0,1,22.23,16.0,14.0,3.0,0.0,1.0,1.0,11.67,64.49,1.0,1,0,0
25.0,0,5.79,11.0,1.0,4.0,0.0,0.0,1.0,8.43,47.77,1.0,1,0,0
53.0,0,28.74,7.0,13.0,6.0,1.0,1.0,1.0,19.52,29.62,1.0,0,1,0
55.0,1,7.49,6.0,10.0,4.0,1.0,1.0,1.0,9.13,49.5,1.0,1,0,0
57.0,1,14.27,12.0,11.0,9.0,0.0,1.0,0.0,18.34,68.86,1.0,0,1,0
37.0,1,4.33,4.0,14.0,3.0,0.0,0.0,0.0,5.35,15.46,1.0,0,1,0
52.0,0,18.5,14.0,11.0,6.0,1.0,1.0,0.0,15.52,49.5,1.0,1,0,0
42.0,1,11.89,11.0,3.0,3.0,1.0,0.0,1.0,14.31,77.6,1.0,0,1,0
